sku,field,ua_or_diff,ru_or_bad,url
1133439835,descr_full,Плита індукційна HURAKAN HKN-ICF70D2V двокомфоркова. Габарити: 660x396x110 мм. Кількість конфорок: 2. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Дві зони нагрівання. Дві вилки,Плита індукційна HURAKAN HKN-ICF70D2V двокомфоркова. Габарити: 660x396x110 мм. Кількість конфорок: 2. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Дві зони нагрівання. Дві вилки,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf70d2v-2kh35-kvt/
1133445039,mod_name,"Плита індукційна HURAKAN HKN-ICF35Dx47 (4х3,5 кВт)","Плита індукційна HURAKAN HKN-ICF35Dx47 (4х3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35dx47-4kh35-kvt/
1133445039,descr_full,Плита індукційна HURAKAN HKN-ICF35Dx47 чотириконфоркова. Габарити: 700x830x140 мм. Кількість конфорок: 4. Матеріал корпусу: неіржавка сталь. Температурний режим: +60°С...+240°С. 4 зони нагрівання. Зах,Плита індукційна HURAKAN HKN-ICF35Dx47 чотириконфоркова. Габарити: 700x830x140 мм. Кількість конфорок: 4. Матеріал корпусу: неіржавка сталь. Температурний режим: +60°С...+240°С. 4 зони нагрівання. Зах,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35dx47-4kh35-kvt/
1133450602,descr_full,Плита індукційна HURAKAN HKN-ICW50D WOK однокомфоркова. Габарити: 500x410x200 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Одна зона нагрівання. 5 рівнів потужності нагрівання. Захис,Плита індукційна HURAKAN HKN-ICW50D WOK однокомфоркова. Габарити: 500x410x200 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Одна зона нагрівання. 5 рівнів потужності нагрівання. Захис,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icw50d-wok-5-kvt/
1133453759,descr_full,"Плита індукційна HURAKAN HKN-ICW35M WOK однокомфоркова. Габарити: 350х450х200 мм. Скло: діаметр 280 мм, глибина 42 мм, товщина 4 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температ","Плита індукційна HURAKAN HKN-ICW35M WOK однокомфоркова. Габарити: 350х450х200 мм. Скло: діаметр 280 мм, глибина 42 мм, товщина 4 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температ",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icw35m-wok-35-kvt/
1133455719,mod_name,"Плита індукційна HURAKAN HKN-ICF35D (3,5 кВт)","Плита індукційна HURAKAN HKN-ICF35D (3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35d-35-kvt/
1133455719,descr_full,Плита індукційна HURAKAN HKN-ICF35D однокомфоркова. Габарити: 328х396х110 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівнів,Плита індукційна HURAKAN HKN-ICF35D однокомфоркова. Габарити: 328х396х110 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівнів,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35d-35-kvt/
1133458969,descr_full,Плита індукційна HURAKAN HKN-ICF50D однокомфоркова. Габарити: 500x410x200 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Одна зона нагрівання. 5 рівнів потужності нагрівання. Захист від,Плита індукційна HURAKAN HKN-ICF50D однокомфоркова. Габарити: 500x410x200 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Одна зона нагрівання. 5 рівнів потужності нагрівання. Захист від,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf50d-5-kvt/
1133459624,mod_name,"Плита індукційна HURAKAN HKN-ICF35M (3,5 кВт)","Плита індукційна HURAKAN HKN-ICF35M (3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35m-35-kvt/
1133459624,descr_full,Плита індукційна HURAKAN HKN-ICF35M однокомфоркова. Габарити: 326х415х110 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівнів,Плита індукційна HURAKAN HKN-ICF35M однокомфоркова. Габарити: 326х415х110 мм. Кількість конфорок: 1. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівнів,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35m-35-kvt/
1133460763,mod_name,"Плита індукційна HURAKAN HKN-ICF35T (3,5 кВт)","Плита індукційна HURAKAN HKN-ICF35T (3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35t-35-kvt/
1133460763,descr_full,Плита індукційна HURAKAN HKN-ICF35T однокомфоркова. Габарити: 340х423х130 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівні,Плита індукційна HURAKAN HKN-ICF35T однокомфоркова. Габарити: 340х423х130 мм. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температурний режим: 60°С-280°С. Одна зона нагрівання. 13 рівні,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35t-35-kvt/
1136180326,mod_name,Плита індукційна INDOKOR IN3500 настільна,Плита індукційна INDOKOR IN3500 настільна,https://labresta.com.ua/plyta-induktsiina-indokor-in3500-nastilna/
1136180326,descr_full,"Плита індукційна зі склокерамічною поверхнею. Індукційна плита — кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочастотним магнітним полем","Плита індукційна зі склокерамічною поверхнею. Індукційна плита — кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочастотним магнітним полем",https://labresta.com.ua/plyta-induktsiina-indokor-in3500-nastilna/
1270729535,mod_name,Плита індукційна FROSTY 70-KPP1 настільна,Плита індукційна FROSTY 70-KPP1 настільна,https://labresta.com.ua/plyta-induktsiina-frosty-70-kpp1-nastilna/
1270729535,descr_full,Плита індукційна FROSTY 70-KPP1 двоконфоркова професійна зі склокерамічною поверхнею. Корпус із неіржавкої сталі. Індукційна зона для посуду діаметром від 120 мм до 300 мм Захист від перегрівання Сенс,Плита індукційна FROSTY 70-KPP1 двоконфоркова професійна зі склокерамічною поверхнею. Корпус із неіржавкої сталі. Індукційна зона для посуду діаметром від 120 мм до 300 мм Захист від перегрівання Сенс,https://labresta.com.ua/plyta-induktsiina-frosty-70-kpp1-nastilna/
1278781818,mod_name,Плита індукційна REEDNEE WOK AMCD506W,Плита індукційна REEDNEE WOK AMCD506W,https://labresta.com.ua/plyta-induktsiina-reednee-wok-amcd506w/
1278781818,descr_full,Плита індукційна REEDNEE WOK AMCD506W на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Цифровий дисплей Діапазон температури +6,Плита індукційна REEDNEE WOK AMCD506W на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Цифровий дисплей Діапазон температури +6,https://labresta.com.ua/plyta-induktsiina-reednee-wok-amcd506w/
1278786539,mod_name,Плита індукційна Bartscher WOK IW35 105986,Плита індукційна Bartscher WOK IW35 105986,https://labresta.com.ua/plyta-induktsiina-bartscher-wok-iw35-105986/
1278786539,descr_full,Плита індукційна Плита індукційна Bartscher WOK IW35 105986 на одну конфорку. Корпус нержавіюча сталь. Склокерамічна Конфорка діаметром 260 мм Сенсорна панель управління з цифровою індикацією. Таймер.,Плита індукційна Плита індукційна Bartscher WOK IW35 105986 на одну конфорку. Корпус нержавіюча сталь. Склокерамічна Конфорка діаметром 260 мм Сенсорна панель управління з цифровою індикацією. Таймер.,https://labresta.com.ua/plyta-induktsiina-bartscher-wok-iw35-105986/
1316945344,mod_name,Плита індукційна AIRHOT IP 3500 настольная,Плита індукційна AIRHOT IP 3500 настольная,https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastolnaia/
1316945344,descr_full,Плита индукционная AIRHOT предназначена для профессионального использования. Электронный таймер с обратным отсчетом до 60 минут Регулировка мощности Диаметр посуды от 12 до 26 см. Макс.нагрузка на пов,Плита индукционная AIRHOT предназначена для профессионального использования. Электронный таймер с обратным отсчетом до 60 минут Регулировка мощности Диаметр посуды от 12 до 26 см. Макс.нагрузка на пов,https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastolnaia/
1423206708,meta_keys,"pimak, плита газовая, плита на газу, плита на газе, пимак, плита газовая пимак, пімак, плита пімак, газова пліта, газова плита, плита настольная, газ плита настольная, газовый контроллер, мо15 4, pima","pimak, плита газовая, плита на газу, плита на газе, пимак, плита газовая пимак, пімак, плита пімак, газова пліта, газова плита, плита настольная, газ плита настольная, газовый контроллер, мо15 4, pima",https://labresta.com.ua/plyta-hazova-pimak-70s-m015-4f-z-dukhovkoiu/
1495716546,mod_name,Плита індукційна AIRHOT IP7000 D,Плита індукційна AIRHOT IP7000 D,https://labresta.com.ua/plyta-induktsiina-airhot-ip7000-d/
1495716546,descr_full,"Плита індукційна AIRHOT IP7000 D призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний","Плита індукційна AIRHOT IP7000 D призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний",https://labresta.com.ua/plyta-induktsiina-airhot-ip7000-d/
1496869789,mod_name,Плита індукційна FROSTY 35-KP4,Плита індукційна FROSTY 35-KP4,https://labresta.com.ua/plyta-induktsiina-frosty-35-kp4/
1496869789,descr_full,"Плита індукційна на підлогу FROSTY 35-KP4 зі склокерамічною поверхнею. Корпус з нержавіючої сталі. Конфорки розміром 300х300 мм по 3,5 кВт Діаметр посуду від 120 до 300 мм Максимальне навантаження на ","Плита індукційна на підлогу FROSTY 35-KP4 зі склокерамічною поверхнею. Корпус з нержавіючої сталі. Конфорки розміром 300х300 мм по 3,5 кВт Діаметр посуду від 120 до 300 мм Максимальне навантаження на ",https://labresta.com.ua/plyta-induktsiina-frosty-35-kp4/
1559020605,mod_name,Плита індукційна REEDNEE NSA897A,Плита індукційна REEDNEE NSA897A,https://labresta.com.ua/plyta-induktsiina-reednee-nsa897a/
1559020605,descr_full,Плита індукційна REEDNEE NSA897A чотириконфоркова. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Діапазон температури +60... +280 °С. Електрон,Плита індукційна REEDNEE NSA897A чотириконфоркова. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Діапазон температури +60... +280 °С. Електрон,https://labresta.com.ua/plyta-induktsiina-reednee-nsa897a/
2044628999,mod_name,Плита електрична Frosty TH TZ-4,Плита електрична Frosty TH TZ-4,https://labresta.com.ua/plyta-elektrychna-frosty-th-tz-4/
2044628999,descr_full,"Плита промислова електрична FROSTY TH TZ-4 застосовується на кухнях ресторанів, кафе, а також у фаст-фудах. У даній моделі 4 конфорки, розмір конфорок - 2х Ø 190 мм, 2х Ø 230. Виготовлена в корпусі з ","Плита промислова електрична FROSTY TH TZ-4 застосовується на кухнях ресторанів, кафе, а також у фаст-фудах. У даній моделі 4 конфорки, розмір конфорок - 2х Ø 190 мм, 2х Ø 230. Виготовлена в корпусі з ",https://labresta.com.ua/plyta-elektrychna-frosty-th-tz-4/
2044633129,mod_name,Плита індукційна Frosty 35-K1,Плита індукційна Frosty 35-K1,https://labresta.com.ua/plyta-induktsiina-frosty-35-k1/
2044633129,descr_full,Плита індукційна для підлоги зі склокерамічною поверхнею на 1 конфорку. Плита зі склокераміки 300х300 мм Діаметр посуду: від 120 до 300 мм 10 ступенів регулювання потужності: від 500 до 3500 В 10 ступ,Плита індукційна для підлоги зі склокерамічною поверхнею на 1 конфорку. Плита зі склокераміки 300х300 мм Діаметр посуду: від 120 до 300 мм 10 ступенів регулювання потужності: від 500 до 3500 В 10 ступ,https://labresta.com.ua/plyta-induktsiina-frosty-35-k1/
2060626648,descr_full,"Плита індукційна Hurakan HKN-ICF35TM однокомфоркова. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температурний режим: +60/+280 °С. Одна зона нагріву. 13 рівнів потужності нагріву (0,4-3","Плита індукційна Hurakan HKN-ICF35TM однокомфоркова. Кількість конфорок: 1. Матеріал корпусу: нержавіюча сталь. Температурний режим: +60/+280 °С. Одна зона нагріву. 13 рівнів потужності нагріву (0,4-3",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf35tm/
2061553649,mod_name,Плита індукційна APACH APRI-77P,Плита індукційна APACH APRI-77P,https://labresta.com.ua/plyta-induktsiina-apach-apri-77p/
2061553649,descr_full,"Плита індукційна 4-х конфоркова на відкритій базі. Регульовані зони нагріву, незалежно одна від одної, окреслені діаметром 220 мм. Поверхня нагрівається лише при безпосередньому контакті зі сковородам","Плита індукційна 4-х конфоркова на відкритій базі. Регульовані зони нагріву, незалежно одна від одної, окреслені діаметром 220 мм. Поверхня нагрівається лише при безпосередньому контакті зі сковородам",https://labresta.com.ua/plyta-induktsiina-apach-apri-77p/
