sku,field,ua_or_diff,ru_or_bad,url
2169765294,descr_full,font: UA=24/RU=0,len(UA)=1010 len(RU)=1016,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-1.56/
2169768949,descr_full,font: UA=24/RU=0,len(UA)=1008 len(RU)=1014,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-1.875/
2169771573,descr_full,font: UA=20/RU=0,len(UA)=976 len(RU)=984,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-2.5/
2169775521,descr_full,font: UA=16/RU=0,len(UA)=702 len(RU)=702,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-slim-1.0/
2169785154,descr_full,font: UA=16/RU=2,len(UA)=703 len(RU)=703,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-slim-1.25/
2169788679,descr_full,font: UA=16/RU=2,len(UA)=703 len(RU)=703,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-slim-1.56/
2169792005,descr_full,font: UA=16/RU=2,len(UA)=703 len(RU)=703,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-slim-1.85/
2169796301,descr_full,font: UA=16/RU=2,len(UA)=703 len(RU)=703,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-slim-2.5/
1500155912,descr_full,h2: UA=0/RU=1,len(UA)=1388 len(RU)=1492,https://labresta.com.ua/boneta-morozylna-juka-m1000v/
1500170845,descr_full,h2: UA=0/RU=1,len(UA)=992 len(RU)=1079,https://labresta.com.ua/boneta-morozylna-juka-m1000s/
2089153909,descr_full,strong: UA=0/RU=1,len(UA)=1540 len(RU)=1568,https://labresta.com.ua/vitryna-kondyterska-juka-vdl-158a/
2089162350,descr_full,strong: UA=0/RU=1,len(UA)=1540 len(RU)=1568,https://labresta.com.ua/vitryna-kondyterska-juka-vdl-158a-nerzhaviiucha-stal/
2091052255,descr_full,p: UA=6/RU=5,len(UA)=1340 len(RU)=1379,https://labresta.com.ua/skrynia-morozylna-juka-juka-m100v/
2091076532,descr_full,li: UA=24/RU=23,len(UA)=1371 len(RU)=1387,https://labresta.com.ua/skrynia-morozylna-juka-m200sf/
2091136244,descr_full,li: UA=24/RU=23,len(UA)=1268 len(RU)=1267,https://labresta.com.ua/skrynia-morozylna-juka-m300sf/
2091287487,descr_full,li: UA=24/RU=23; strong: UA=0/RU=1,len(UA)=1373 len(RU)=1390,https://labresta.com.ua/skrynia-morozylna-juka-m400sf/
2091292490,descr_full,li: UA=23/RU=22,len(UA)=1349 len(RU)=1383,https://labresta.com.ua/skrynia-morozylna-juka-m500sf/
2091295817,descr_full,li: UA=23/RU=22,len(UA)=1371 len(RU)=1390,https://labresta.com.ua/skrynia-morozylna-juka-m600sf/
2092063583,descr_full,p: UA=7/RU=6,len(UA)=1559 len(RU)=1596,https://labresta.com.ua/boneta-morozylna-juka-m800d/
2092726896,descr_full,li: UA=24/RU=23,len(UA)=1414 len(RU)=1402,https://labresta.com.ua/skrynia-morozylna-juka-n200sf/
2092738424,descr_full,p: UA=4/RU=5,len(UA)=1334 len(RU)=1330,https://labresta.com.ua/skrynia-morozylna-juka-n300s/
2092740572,descr_full,li: UA=24/RU=23,len(UA)=1337 len(RU)=1335,https://labresta.com.ua/skrynia-morozylna-juka-n300sf/
2092748821,descr_full,li: UA=24/RU=23; strong: UA=0/RU=1,len(UA)=1414 len(RU)=1430,https://labresta.com.ua/skrynia-morozylna-juka-n400sf/
2092757141,descr_full,li: UA=23/RU=22,len(UA)=1396 len(RU)=1429,https://labresta.com.ua/skrynia-morozylna-juka-n500sf/
2092768245,descr_full,li: UA=23/RU=22,len(UA)=1413 len(RU)=1430,https://labresta.com.ua/skrynia-morozylna-juka-n600sf/
2092802740,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1985 len(RU)=2008,https://labresta.com.ua/vitryna-kholodylna-juka-adkh125-rehal/
